Run started at  Tue Jul 24 16:28:22 BST 2018
Start include.
Starting
Ready
	From worker 2:	Parameters set for ENSMUSG00000029177
	From worker 2:	starting ABC for ENSMUSG00000029177
	From worker 2:	Number of trials = 1
	From worker 2:	Number accepted = 0
	From worker 2:	Number of trials = 1001
	From worker 2:	Number accepted = 54
	From worker 2:	Number of trials = 2001
	From worker 2:	Number accepted = 107
	From worker 2:	Number of trials = 3001
	From worker 2:	Number accepted = 160
	From worker 2:	Number of trials = 4001
	From worker 2:	Number accepted = 210
	From worker 2:	Number of trials = 5001
	From worker 2:	Number accepted = 262
	From worker 2:	Number of trials = 6001
	From worker 2:	Number accepted = 305
	From worker 2:	Number of trials = 7001
	From worker 2:	Number accepted = 354
	From worker 2:	Number of trials = 8001
	From worker 2:	Number accepted = 405
	From worker 2:	Number of trials = 9001
	From worker 2:	Number accepted = 453
	From worker 2:	Number of trials = 10001
	From worker 2:	Number accepted = 498
	From worker 2:	-1.9001498394746594 -4.480214648960006 -0.5210376163040191 76.19777078629602
	From worker 2:	-0.5197622154502213 -3.148050810200127 -0.9172870836830009 37.288177207888786
	From worker 2:	-0.8865394766562096 -5.295242769063574 -1.4183444280552475 9.604119361528713
	From worker 2:	-4.2579956171026865 -3.2902169828029666 -3.311572814127406 26.082402153019366
	From worker 2:	-3.0649189950651263 -1.3408265494731149 -2.701137881055205 74.67234252394186
	From worker 2:	-0.12647767011780875 -0.42378115869857247 -1.088353563490454 26.38078673862598
	From worker 2:	-0.5341917300369037 -3.5855260833865787 -0.7425667239349085 50.32183522450511
	From worker 2:	-4.216304059386988 -4.547611118789106 -0.713365853713297 39.090906374039065
	From worker 2:	-4.201246694625176 -4.232515570305542 -0.7777967246988968 51.98705315313971
	From worker 2:	-1.5169361382532038 -1.3317966788238351 -1.0993680134795598 51.2294350985063
	From worker 2:	-1.7710836567416823 -1.2025471563547843 -1.3348111786462464 36.06458310277503
	From worker 2:	-4.1258344590321 -4.243705547817427 -0.7151524875868418 63.320727239774556
	From worker 2:	-2.7674160732158666 -4.469429632679392 -0.5826421296133351 48.916564570413
	From worker 2:	-1.3234821684934914 -0.45323279960518015 -1.4935449889631363 41.24059511612977
	From worker 2:	-2.951982238307915 -1.3080274513365282 -2.660659886612168 69.01278641929139
	From worker 2:	-0.8098048653502161 -2.0751705664851285 -0.42886764483974993 62.10390779249362
	From worker 2:	-2.542501606365172 -4.112959627374551 -1.4300586632636403 10.457331933694451
	From worker 2:	-0.0021720384516221714 -3.7528457269810054 -0.8204017355859694 37.36704070645015
	From worker 2:	-2.225799089916686 -1.9973784470406386 -2.2954806748404004 5.99940795400471
	From worker 2:	-2.454584154248513 -2.1538526854429976 -2.0980174635438225 12.045801993586895
	From worker 2:	-0.5291525785963174 -2.8473962875571277 -1.2340540289200401 13.373414379859376
	From worker 2:	-2.7138285546515735 -2.189744937245163 -1.8218301576210836 16.54971121318038
	From worker 2:	-0.9546841085092721 -2.0171186335952918 -1.0555558426620442 27.630029747865628
	From worker 2:	-4.194997930707299 -5.889783528360715 -0.5563571602387452 63.03781804764006
	From worker 2:	-4.12617472183883 -5.961477584002887 -0.5567175635979194 70.24613708627746
	From worker 2:	-0.11195304995790423 -0.5317248083682973 -0.7906366693208469 46.694835342660284
	From worker 2:	-1.2835300319693346 -4.937437353606407 -0.6487113253492911 49.377134155275186
	From worker 2:	-4.650359599209203 -1.8175804197793148 -4.078180641869576 15.931890965502298
	From worker 2:	-0.9384418603501032 -2.638565994548064 -0.9637147573268745 34.5194321163286
	From worker 2:	-3.227687087666429 -0.8647327092157902 -3.4152762462837996 23.92033205184175
	From worker 2:	-4.275018547412576 -2.9374820304107043 -3.045904064762036 35.98551560507506
	From worker 2:	-1.2251131695611113 -1.4145335367810201 -1.249439256915462 27.36317500459343
	From worker 2:	-3.466155409468977 -3.5313386345127484 -0.7424331228506844 47.13770012772031
	From worker 2:	-3.731068321765511 -4.453214751798854 -0.8348030431023066 73.85872184353087
	From worker 2:	-4.14293554243843 -2.953028479293699 -3.0095299571581804 9.498303578471976
	From worker 2:	-4.744623733149217 -4.743446280969844 -0.9208035584333203 49.547718422265646
	From worker 2:	-0.3646087071776787 -2.1488508336459464 -0.9800040020803245 22.896234661740085
